CustomerId,Surname,Email,Phone,Balance
15757408,Lo,lo@gmail.com,920-593-0453,250898
15715622,To Rot,to rot@gmail.com,402-447-0851,238387
15769818,Moore,moore@gmail.com,348-906-0875,212778
15769412,Atkinson,atkinson@gmail.com,381-432-4129,207034
15620570,Sinnett,sinnett@gmail.com,709-969-8620,202443
15668818,Chidubem,chidubem@gmail.com,365-031-3680,200322
15664506,Goodwin,goodwin@gmail.com,743-049-4484,197436
15813741,Nnachetam,nnachetam@gmail.com,804-615-3514,193858
15696852,Hsu,hsu@gmail.com,702-251-4082,192122
15747174,Hao,hao@gmail.com,831-658-5156,190298
15571081,Hansen,hansen@gmail.com,319-301-9153,190238
15807663,McGregor,mcgregor@gmail.com,743-890-1450,190227
15638989,Lettiere,lettiere@gmail.com,212-583-6996,190066
15716134,Russo,russo@gmail.com,983-141-3609,190008
15593900,Belousov,belousov@gmail.com,476-365-7294,189443
15765520,Stevenson,stevenson@gmail.com,923-318-2504,188614
15593425,Bracewell,bracewell@gmail.com,528-575-5411,187997
15570134,Padovano,padovano@gmail.com,221-996-6454,187530
15604782,Tan,tan@gmail.com,151-154-0257,187257
15737792,Abbie,abbie@gmail.com,788-869-6269,186796
15578251,Fang,fang@gmail.com,656-690-0216,186347
15786042,Willmore,willmore@gmail.com,484-165-6581,185932
15791851,Afanasyeva,afanasyeva@gmail.com,824-354-6415,185734
15616152,Pai,pai@gmail.com,255-524-1587,185513
15679297,Volkova,volkova@gmail.com,247-642-0418,184926
15712199,Ijendu,ijendu@gmail.com,541-673-2918,183997
15722599,Nelson,nelson@gmail.com,258-430-5053,183613
15714391,Lai,lai@gmail.com,778-941-7320,183572
15600911,Mbadiwe,mbadiwe@gmail.com,764-483-7602,182888
15767729,Smith,smith@gmail.com,922-805-1109,182876
15779182,Chia,chia@gmail.com,477-036-0780,182364
15775104,Gomes,gomes@gmail.com,862-563-1610,182065
15736534,Elkins,elkins@gmail.com,713-184-7528,181656
15801559,Chiang,chiang@gmail.com,142-503-9082,181461
15696605,Angelo,angelo@gmail.com,912-510-8263,180614
